Alliance,Party,Contested,Won,Vote %,Contested Voteshare,Year
NDA,Bharatiya Janta Party,364,138,22.2,34.4,2004
NDA,Shiv Sena,22,12,1.8,44.2,2004
NDA,Biju Janata Dal,12,11,1.3,51.1,2004
NDA,Shiromani Akali Dal,10,8,0.9,43.4,2004
NDA,Janata Dal (United),33,8,1.9,31.7,2004
NDA,Telugu Desam,33,5,3,42.7,2004
NDA,All India Trinamool Congress,31,2,2.1,30.8,2004
NDA,Indian Federal Democratic Party,1,1,0.1,34.4,2004
NDA,Nagaland Peoples Front,1,1,0.2,73.1,2004
NDA,Sikkim Democratic Front,1,1,0,69.8,2004
NDA,Mizo National Front,1,1,0,52.5,2004
NDA,Independents,1,1,0.2,71.3,2004
NDA,All India Anna Dravida Munnetra Kazhagam,33,0,2.2,35.6,2004
UPA,Indian National Congress,414,145,26.4,34.6,2004
UPA,Rashtriya Janata Dal,28,24,2.4,45.7,2004
UPA,Dravida Munetra Kazhagam,16,16,1.8,58.2,2004
UPA,Nationalist Congress Party,23,9,1.8,45,2004
UPA,Pattali Makkal Katchi,6,6,0.6,51.7,2004
UPA,Telangana Rashtra Samithi,6,5,0.6,43.1,2004
UPA,Lok Jan Shakti Party,13,4,0.7,29.8,2004
UPA,Jharkhand Mukti Morcha,6,4,0.4,35.3,2004
UPA,Marumalarchi Dravida Munnetra Kazhagam,4,4,0.4,58.2,2004
UPA,Communist Party Of India (MARXIST),5,3,0.4,44.1,2004
UPA,Communist Party Of India,3,2,0.3,47.3,2004
UPA,Muslim League Kerala State Committee,2,1,0.2,44.8,2004
UPA,Jammu & Kashmir Peoples Democratic Party,2,1,0,43.3,2004
UPA,Republican Party Of India (A),1,1,0.1,50.4,2004
UPA,Kerala Congress(M),1,0,0.1,28.1,2004
UPA,Janata Dal (Secular),1,0,0.1,36.2,2004
UPA,Independents,3,0,0.1,34.3,2004
UPA,Arunachal Congress,1,0,0,34.5,2004
UPA,Republican Party Of India,1,0,0,22.3,2004
UPA,Party For Democratic Socialism,2,0,0,4.9,2004
UPA,Peoples Republican Party,1,0,0.1,30.7,2004
THIRD FRONT,Communist Party Of India (MARXIST),63,40,5.2,42.7,2004
THIRD FRONT,Communist Party Of India,28,6,0.9,19,2004
THIRD FRONT,All India Forward Bloc,4,3,0.3,45.9,2004
THIRD FRONT,Revolutionary Socialist Party,4,3,0.4,46.5,2004
THIRD FRONT,Janata Dal (Secular),1,1,0.1,43.5,2004
THIRD FRONT,Independents,1,1,0.1,49,2004
THIRD FRONT,Kerala Congress,1,1,0.1,48.5,2004
